plotid,treat,climate,subplot,cotyledon or unk,ach mil,agr eup,cen jac,cre bie,cre cap,cir sp,dia car,dau car,fal vul,fall conv,gal alb,gal ver,ger sp,hyp rad,kna arv,larn sp,leu vul,lot cor,lyc sp,med sp,pim sax,pla lan,pla med,pru vul,sca och,sec var,sil lat,sil vul,ste med,tri sp,ver sp,vic cra,grass,cer hol,ran arc,pic hic,triangle seedling
41,EF,future,I,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,
42,EFL,future,O,,,,,,,,,,,,45,,,,,,,,,,,,,,,5,,,,,,,,,,,
42,EFL,future,I,,,,,,,,,,,,9,,,,,,,,,,,,,,,4,,,,,,,,,,,
43,FL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,FL,future,I,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,
44,F,future,O,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
44,F,future,I,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
45,L,future,O,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
45,L,future,I,,,,,,1,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,2,,,
46,C,future,O,6,,,,,,,4,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,
46,C,future,I,3,,,,,,,2,,,,1,,,,,,1,,,3,,,,,,,,,,,,,,2,,,
47,EL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,EL,future,I,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
48,E,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,1,,,,,,
48,E,future,I,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
49,FL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,
49,FL,future,I,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,F,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
50,F,future,I,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
51,EFL,future,O,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
51,EFL,future,I,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
52,EF,future,O,1,,,,,,,,,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,
52,EF,future,I,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,
53,C,future,O,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,9,,,
53,C,future,I,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,1,,,,,,,14,,,
